ID,Text,Score,Sentiment
809,I hate this terrible thing,-2,Negative
810,This is the worst experience ever,-1,Negative
811,It is an average day,0,Neutral
812,This is bad and poor quality,-2,Negative
813,What a great performance,1,Positive
814,It is an average day,0,Neutral
815,This is bad and poor quality,-2,Negative
816,What a great performance,1,Positive
817,I hate this terrible thing,-2,Negative
818,The service is good and nice,2,Positive
819,This is the worst experience ever,-1,Negative
820,It is an average day,0,Neutral
821,This is the worst experience ever,-1,Negative
822,It is an average day,0,Neutral
823,It is an average day,0,Neutral
824,This is the worst experience ever,-1,Negative
825,What a great performance,1,Positive
826,I love this product it is excellent,2,Positive
827,I love this product it is excellent,2,Positive
828,What a great performance,1,Positive
829,The service is good and nice,2,Positive
830,The service is good and nice,2,Positive
831,This is bad and poor quality,-2,Negative
832,It is an average day,0,Neutral
833,This is the worst experience ever,-1,Negative
834,It is an average day,0,Neutral
835,It is an average day,0,Neutral
836,What a great performance,1,Positive
837,This is bad and poor quality,-2,Negative
838,What a great performance,1,Positive
839,It is an average day,0,Neutral
840,The service is good and nice,2,Positive
841,The service is good and nice,2,Positive
842,I love this product it is excellent,2,Positive
843,The service is good and nice,2,Positive
844,The service is good and nice,2,Positive
845,It is an average day,0,Neutral
846,This is bad and poor quality,-2,Negative
847,The service is good and nice,2,Positive
848,This is bad and poor quality,-2,Negative
849,I love this product it is excellent,2,Positive
850,This is the worst experience ever,-1,Negative
851,I hate this terrible thing,-2,Negative
852,What a great performance,1,Positive
853,This is the worst experience ever,-1,Negative
854,I hate this terrible thing,-2,Negative
855,What a great performance,1,Positive
856,I love this product it is excellent,2,Positive
857,It is an average day,0,Neutral
858,This is the worst experience ever,-1,Negative
859,I hate this terrible thing,-2,Negative
860,I hate this terrible thing,-2,Negative
861,The service is good and nice,2,Positive
862,It is an average day,0,Neutral
863,This is bad and poor quality,-2,Negative
864,It is an average day,0,Neutral
865,What a great performance,1,Positive
866,This is the worst experience ever,-1,Negative
867,This is bad and poor quality,-2,Negative
868,This is bad and poor quality,-2,Negative
869,What a great performance,1,Positive
870,I hate this terrible thing,-2,Negative
871,What a great performance,1,Positive
872,What a great performance,1,Positive
873,I love this product it is excellent,2,Positive
874,It is an average day,0,Neutral
875,This is the worst experience ever,-1,Negative
876,What a great performance,1,Positive
877,I hate this terrible thing,-2,Negative
878,The service is good and nice,2,Positive
879,I hate this terrible thing,-2,Negative
880,I hate this terrible thing,-2,Negative
881,The service is good and nice,2,Positive
882,This is the worst experience ever,-1,Negative
883,This is the worst experience ever,-1,Negative
884,I hate this terrible thing,-2,Negative
885,What a great performance,1,Positive
886,It is an average day,0,Neutral
887,This is the worst experience ever,-1,Negative
888,This is the worst experience ever,-1,Negative
889,I hate this terrible thing,-2,Negative
890,This is bad and poor quality,-2,Negative
891,I hate this terrible thing,-2,Negative
892,I love this product it is excellent,2,Positive
893,It is an average day,0,Neutral
894,This is bad and poor quality,-2,Negative
895,This is bad and poor quality,-2,Negative
896,What a great performance,1,Positive
897,This is the worst experience ever,-1,Negative
898,The service is good and nice,2,Positive
899,It is an average day,0,Neutral
900,This is the worst experience ever,-1,Negative
901,What a great performance,1,Positive
902,This is the worst experience ever,-1,Negative
903,It is an average day,0,Neutral
904,I hate this terrible thing,-2,Negative
905,This is the worst experience ever,-1,Negative
906,It is an average day,0,Neutral
907,This is the worst experience ever,-1,Negative
908,This is the worst experience ever,-1,Negative
909,I hate this terrible thing,-2,Negative
910,I hate this terrible thing,-2,Negative
911,The service is good and nice,2,Positive
912,This is bad and poor quality,-2,Negative
913,It is an average day,0,Neutral
914,I hate this terrible thing,-2,Negative
915,I hate this terrible thing,-2,Negative
916,This is the worst experience ever,-1,Negative
917,I hate this terrible thing,-2,Negative
918,It is an average day,0,Neutral
919,This is the worst experience ever,-1,Negative
920,The service is good and nice,2,Positive
921,I love this product it is excellent,2,Positive
922,This is the worst experience ever,-1,Negative
923,The service is good and nice,2,Positive
924,What a great performance,1,Positive
925,The service is good and nice,2,Positive
926,This is bad and poor quality,-2,Negative
927,This is bad and poor quality,-2,Negative
928,The service is good and nice,2,Positive
929,The service is good and nice,2,Positive
930,The service is good and nice,2,Positive
931,I love this product it is excellent,2,Positive
932,It is an average day,0,Neutral
933,I hate this terrible thing,-2,Negative
934,It is an average day,0,Neutral
935,The service is good and nice,2,Positive
936,This is bad and poor quality,-2,Negative
937,The service is good and nice,2,Positive
938,This is bad and poor quality,-2,Negative
939,This is the worst experience ever,-1,Negative
940,I hate this terrible thing,-2,Negative
941,This is the worst experience ever,-1,Negative
942,This is bad and poor quality,-2,Negative
943,What a great performance,1,Positive
944,This is the worst experience ever,-1,Negative
945,The service is good and nice,2,Positive
946,What a great performance,1,Positive
947,I hate this terrible thing,-2,Negative
948,It is an average day,0,Neutral
949,It is an average day,0,Neutral
950,The service is good and nice,2,Positive
951,This is the worst experience ever,-1,Negative
952,This is the worst experience ever,-1,Negative
953,This is bad and poor quality,-2,Negative
954,This is bad and poor quality,-2,Negative
955,This is the worst experience ever,-1,Negative
956,This is bad and poor quality,-2,Negative
957,This is the worst experience ever,-1,Negative
958,What a great performance,1,Positive
959,It is an average day,0,Neutral
960,This is bad and poor quality,-2,Negative
961,This is the worst experience ever,-1,Negative
962,The service is good and nice,2,Positive
963,The service is good and nice,2,Positive
964,It is an average day,0,Neutral
965,It is an average day,0,Neutral
966,The service is good and nice,2,Positive
967,I hate this terrible thing,-2,Negative
968,What a great performance,1,Positive
969,The service is good and nice,2,Positive
970,I love this product it is excellent,2,Positive
971,I love this product it is excellent,2,Positive
972,This is the worst experience ever,-1,Negative
973,It is an average day,0,Neutral
974,This is bad and poor quality,-2,Negative
975,I hate this terrible thing,-2,Negative
976,This is the worst experience ever,-1,Negative
977,This is the worst experience ever,-1,Negative
978,The service is good and nice,2,Positive
979,What a great performance,1,Positive
980,The service is good and nice,2,Positive
981,This is bad and poor quality,-2,Negative
982,What a great performance,1,Positive
983,What a great performance,1,Positive
984,I love this product it is excellent,2,Positive
985,I love this product it is excellent,2,Positive
986,The service is good and nice,2,Positive
987,I love this product it is excellent,2,Positive
988,I love this product it is excellent,2,Positive
989,It is an average day,0,Neutral
990,I love this product it is excellent,2,Positive
991,This is the worst experience ever,-1,Negative
992,What a great performance,1,Positive
993,What a great performance,1,Positive
994,It is an average day,0,Neutral
995,This is bad and poor quality,-2,Negative
996,I hate this terrible thing,-2,Negative
997,I love this product it is excellent,2,Positive
998,I hate this terrible thing,-2,Negative
999,This is the worst experience ever,-1,Negative
1000,I love this product it is excellent,2,Positive
